//Domain	Intention	TARGETED_CONTENT_PROVIDERS
APPL	Launch	PateoOpenAppData,Gen Search(Google)
BUSINESS_GAS	Search	PateoPoiData,Gen Search(Google)
BUSINESS_PARKING	Search	PateoPoiData,Gen Search(Google)
BUSINESS_UNCATEGORIZED	Search	PateoPoiData,Gen Search(Google)
BUSINESS_STOCKPRICE	Search	PateoStockData,Gen Search(Google)
INTERNETRADIO	Play	PateoInternetRadioData,Gen Search(Google)
MAPSEARCH	Directions	PateoPoiData,Gen Search(Google)
MAPSEARCH	Search	PateoPoiData,Gen Search(Google)
MAPSEARCH	Upload	PateoPoiData,Gen Search(Google)
NEWS	Read	PateoNewsData,Gen Search(Google)
NEWS	Search	PateoNewsData,Gen Search(Google)
WEATHER	Request	PateoWeatherData,Gen Search(Google)
MUSIC	Play	PateoMusicData,Gen Search(Google)
